m,lam,Jstar,Jsize,j0,S,binJ,binsize,box_in_bin
6,3|3|3|1|1|1,0|2,2,0,1,0,1,False
6,3|3|2|2|2,0|4,2,0,2,0,1,False
6,3|3|1|1|1|1|1|1,0|4,2,0,2,0,1,False
6,3|2|2|2|1|1|1,3|5,2,3,1,0,1,False
6,2|2|2|2|2|2,0|2,2,0,1,0,1,False
6,2|2|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
6,2|2|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
7,12|1|1,0|2,2,0,1,0,1,False
7,11|1|1|1,0|2,2,0,1,0,1,False
7,9|2|1|1|1,3|5,2,3,1,0,1,False
7,8|5|1,0|2,2,0,1,0,1,False
7,8|4|2,0|2,2,0,1,0,1,False
7,8|4|1|1,0|2,2,0,1,0,1,False
7,8|2|2|2,0|2,2,0,1,0,1,False
7,8|1|1|1|1|1|1,0|2,2,0,1,0,1,False
7,7|5|2,0|2,2,0,1,0,1,False
7,7|5|1|1,0|2,2,0,1,0,1,False
7,7|4|2|1,0|2,2,0,1,0,1,False
7,7|4|1|1|1,3|7,2,3,2,0,1,False
7,7|3|2|2,0|2,2,0,1,0,1,False
7,7|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
7,6|4|2|2,0|2,2,0,1,0,1,False
7,6|3|3|1|1,0|2|4|6,4,0,1|2,0,1,False
7,6|3|2|1|1|1,5|7,2,5,1,0,1,False
7,5|5|2|2,0|2,2,0,1,0,1,False
7,5|4|3|1|1,3|5,2,3,1,0,1,False
7,5|3|3|2|1,3|5,2,3,1,0,1,False
7,5|3|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
7,5|2|2|2|1|1|1,3|7,2,3,2,0,1,False
7,5|2|1|1|1|1|1|1|1,3|5,2,3,1,0,1,False
7,4|4|4|2,0|2,2,0,1,0,1,False
7,4|4|3|3,0|2,2,0,1,0,1,False
7,4|4|2|2|2,0|2,2,0,1,0,1,False
7,4|4|2|2|1|1,0|2,2,0,1,0,1,False
7,4|4|2|1|1|1|1,0|2,2,0,1,0,1,False
7,4|4|1|1|1|1|1|1,0|2,2,0,1,0,1,False
7,4|3|2|2|1|1|1,0|2,2,0,1,0,1,False
7,4|2|2|2|2|1|1,0|2,2,0,1,0,1,False
7,4|2|2|2|1|1|1|1,0|2,2,0,1,0,1,False
7,4|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
7,3|3|2|2|2|1|1,0|2,2,0,1,0,1,False
7,3|3|2|2|1|1|1|1,0|2,2,0,1,0,1,False
7,3|2|2|2|2|1|1|1,0|2,2,0,1,0,1,False
7,3|1|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,14|2,0|2,2,0,1,0,1,False
8,13|3,0|2,2,0,1,0,1,False
8,12|2|2,0|4,2,0,2,0,1,False
8,11|4|1,3|5,2,3,1,0,1,False
8,11|3|1|1,0|4,2,0,2,0,1,False
8,10|6,0|2,2,0,1,0,1,False
8,10|4|1|1,0|4,2,0,2,0,1,False
8,10|3|3,0|2,2,0,1,0,1,False
8,10|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
8,10|2|2|1|1,0|2,2,0,1,0,1,False
8,10|2|1|1|1|1,0|2,2,0,1,0,1,False
8,9|7,0|2,2,0,1,0,1,False
8,9|5|2,0|4,2,0,2,0,1,False
8,9|3|3|1,0|2,2,0,1,0,1,False
8,9|3|2|1|1,0|2,2,0,1,0,1,False
8,9|3|1|1|1|1,0|2,2,0,1,0,1,False
8,9|2|2|1|1|1,0|2|4|6,4,0,1|2,0,1,False
8,8|6|2,0|4,2,0,2,0,1,False
8,8|5|3,0|4,2,0,2,0,1,False
8,8|5|2|1,5|7,2,5,1,0,1,False
8,8|4|2|2,0|2|4|6,4,0,1|2,0,1,False
8,8|3|3|1|1,0|2,2,0,1,0,1,False
8,8|2|2|2|1|1,0|4,2,0,2,0,1,False
8,8|2|2|1|1|1|1,0|4,2,0,2,0,1,False
8,7|7|1|1,0|4,2,0,2,0,1,False
8,7|5|2|2,0|2|4|6,4,0,1|2,0,1,False
8,7|4|4|1,0|4,2,0,2,0,1,False
8,7|4|3|2,3|5,2,3,1,0,1,False
8,7|4|2|2|1,3|5,2,3,1,0,1,False
8,7|4|1|1|1|1|1,3|5,2,3,1,0,1,False
8,7|3|3|1|1|1,0|2,2,0,1,0,1,False
8,7|3|2|2|2,0|4,2,0,2,0,1,False
8,7|3|1|1|1|1|1|1,0|4,2,0,2,0,1,False
8,7|2|2|2|1|1|1,3|5,2,3,1,0,1,False
8,6|6|4,0|2,2,0,1,0,1,False
8,6|6|3|1,0|2,2,0,1,0,1,False
8,6|6|2|1|1,0|2,2,0,1,0,1,False
8,6|6|1|1|1|1,0|2,2,0,1,0,1,False
8,6|5|3|1|1,0|2,2,0,1,0,1,False
8,6|4|4|2,0|4,2,0,2,0,1,False
8,6|4|4|1|1,0|2|4|6,4,0,1|2,0,1,False
8,6|4|3|1|1|1,0|2,2,0,1,0,1,False
8,6|4|2|2|2,0|4,2,0,2,0,1,False
8,6|4|1|1|1|1|1|1,0|4,2,0,2,0,1,False
8,6|3|3|3|1,0|2,2,0,1,0,1,False
8,6|3|3|2|2,0|2|4|6,4,0,1|2,0,1,False
8,6|3|3|2|1|1,0|2,2,0,1,0,1,False
8,6|3|3|1|1|1|1,0|2,2,0,1,0,1,False
8,6|3|1|1|1|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
8,6|2|2|2|2|2,0|2,2,0,1,0,1,False
8,6|2|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,6|2|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,5|5|4|1|1,0|2,2,0,1,0,1,False
8,5|5|3|3,0|4,2,0,2,0,1,False
8,5|5|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
8,5|5|2|2|1|1,0|4,2,0,2,0,1,False
8,5|5|2|1|1|1|1,0|4,2,0,2,0,1,False
8,5|4|4|1|1|1,0|2,2,0,1,0,1,False
8,5|4|2|2|1|1|1,3|5,2,3,1,0,1,False
8,5|3|3|3|2,0|2,2,0,1,0,1,False
8,5|3|3|3|1|1,0|2|4|6,4,0,1|2,0,1,False
8,5|3|3|2|2|1,0|2,2,0,1,0,1,False
8,5|3|3|1|1|1|1|1,0|2,2,0,1,0,1,False
8,5|3|2|2|2|2,0|2,2,0,1,0,1,False
8,5|3|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,5|3|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,5|2|2|1|1|1|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
8,4|4|4|2|2,0|4,2,0,2,0,1,False
8,4|4|3|3|1|1,0|4,2,0,2,0,1,False
8,4|4|3|2|1|1|1,3|5,2,3,1,0,1,False
8,4|4|2|2|2|1|1,0|2|4|6,4,0,1|2,0,1,False
8,4|4|2|2|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
8,4|3|3|3|1|1|1,0|4,2,0,2,0,1,False
8,4|3|3|2|2|2,0|2,2,0,1,0,1,False
8,4|3|3|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,4|3|2|2|2|1|1|1,5|7,2,5,1,0,1,False
8,4|2|2|2|2|2|2,0|4,2,0,2,0,1,False
8,4|2|2|2|1|1|1|1|1|1,0|4,2,0,2,0,1,False
8,4|2|2|1|1|1|1|1|1|1|1,0|4,2,0,2,0,1,False
8,3|3|3|3|2|2,0|2,2,0,1,0,1,False
8,3|3|3|2|2|1|1|1,0|4,2,0,2,0,1,False
8,3|3|3|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,3|3|2|2|2|2|1|1,0|4,2,0,2,0,1,False
8,3|3|2|2|2|1|1|1|1,0|4,2,0,2,0,1,False
8,3|3|1|1|1|1|1|1|1|1|1|1,0|4,2,0,2,0,1,False
8,3|2|2|2|1|1|1|1|1|1|1,3|5,2,3,1,0,1,False
8,2|2|2|2|2|2|2|1|1,0|2,2,0,1,0,1,False
8,2|2|2|2|2|2|1|1|1|1,0|2,2,0,1,0,1,False
8,2|2|2|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
8,2|2|1|1|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,16|1|1,0|2,2,0,1,0,1,False
9,15|1|1|1,0|2,2,0,1,0,1,False
9,13|2|1|1|1,3|5,2,3,1,0,1,False
9,12|5|1,0|2,2,0,1,0,1,False
9,12|4|2,0|2,2,0,1,0,1,False
9,12|4|1|1,0|2,2,0,1,0,1,False
9,12|2|2|2,0|2,2,0,1,0,1,False
9,12|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,11|5|2,0|2,2,0,1,0,1,False
9,11|5|1|1,0|2,2,0,1,0,1,False
9,11|4|2|1,0|2,2,0,1,0,1,False
9,11|4|1|1|1,3|7,2,3,2,0,1,False
9,11|3|2|2,0|2,2,0,1,0,1,False
9,11|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,10|4|2|2,0|2,2,0,1,0,1,False
9,10|3|3|1|1,0|2|4|6,4,0,1|2,0,1,False
9,10|3|2|1|1|1,5|7,2,5,1,0,1,False
9,9|6|3,3|5|7|9,4,3,1|2,0,1,False
9,9|6|1|1|1,3|5,2,3,1,0,1,False
9,9|5|2|2,0|2,2,0,1,0,1,False
9,9|4|3|1|1,3|5,2,3,1,0,1,False
9,9|3|3|2|1,3|5,2,3,1,0,1,False
9,9|3|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
9,9|2|2|2|1|1|1,3|7,2,3,2,0,1,False
9,9|2|1|1|1|1|1|1|1,3|5,2,3,1,0,1,False
9,8|8|2,0|2,2,0,1,0,1,False
9,8|8|1|1,0|2,2,0,1,0,1,False
9,8|6|2|2,0|2,2,0,1,0,1,False
9,8|5|5,0|2,2,0,1,0,1,False
9,8|5|3|2,0|2,2,0,1,0,1,False
9,8|5|2|2|1,0|2,2,0,1,0,1,False
9,8|5|2|1|1|1,5|9,2,5,2,0,1,False
9,8|5|1|1|1|1|1,0|2,2,0,1,0,1,False
9,8|4|4|2,0|2,2,0,1,0,1,False
9,8|4|3|3,0|2,2,0,1,0,1,False
9,8|4|2|2|2,0|2,2,0,1,0,1,False
9,8|4|2|2|1|1,0|2,2,0,1,0,1,False
9,8|4|2|1|1|1|1,0|2,2,0,1,0,1,False
9,8|4|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,8|3|2|2|1|1|1,0|2,2,0,1,0,1,False
9,8|2|2|2|2|1|1,0|2,2,0,1,0,1,False
9,8|2|2|2|1|1|1|1,0|2,2,0,1,0,1,False
9,8|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,7|7|2|2,0|2,2,0,1,0,1,False
9,7|6|3|1|1,3|5,2,3,1,0,1,False
9,7|5|5|1,0|2,2,0,1,0,1,False
9,7|5|4|2,0|2,2,0,1,0,1,False
9,7|5|3|3,0|2,2,0,1,0,1,False
9,7|5|2|2|2,0|2,2,0,1,0,1,False
9,7|5|2|2|1|1,0|2,2,0,1,0,1,False
9,7|5|2|1|1|1|1,0|2,2,0,1,0,1,False
9,7|5|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,7|4|4|3,0|2,2,0,1,0,1,False
9,7|4|4|2|1,3|7,2,3,2,0,1,False
9,7|4|3|2|2,3|7,2,3,2,0,1,False
9,7|4|2|2|2|1,0|2,2,0,1,0,1,False
9,7|4|2|2|1|1|1,3|5|7|9,4,3,1|2,0,1,False
9,7|4|2|1|1|1|1|1,0|2,2,0,1,0,1,False
9,7|4|1|1|1|1|1|1|1,3|7,2,3,2,0,1,False
9,7|3|2|2|2|1|1,0|2,2,0,1,0,1,False
9,7|3|2|2|1|1|1|1,0|2,2,0,1,0,1,False
9,7|2|2|2|2|1|1|1,0|2,2,0,1,0,1,False
9,7|1|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,6|6|4|1|1,0|2|4|6,4,0,1|2,0,1,False
9,6|6|3|2|1,3|5,2,3,1,0,1,False
9,6|6|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
9,6|5|5|2,0|2,2,0,1,0,1,False
9,6|5|4|1|1|1,5|7,2,5,1,0,1,False
9,6|5|2|2|1|1|1,0|2,2,0,1,0,1,False
9,6|4|4|2|2,0|8,2,0,3,0,1,False
9,6|4|2|2|2|1|1,0|2,2,0,1,0,1,False
9,6|4|2|2|1|1|1|1,0|2,2,0,1,0,1,False
9,6|3|3|3|2|1,5|7,2,5,1,0,1,False
9,6|3|3|2|2|2,0|2|4|6,4,0,1|2,0,1,False
9,6|3|3|1|1|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
9,6|3|2|2|2|1|1|1,5|9,2,5,2,0,1,False
9,6|3|2|1|1|1|1|1|1|1,5|7,2,5,1,0,1,False
9,5|5|5|3,0|2,2,0,1,0,1,False
9,5|5|3|3|1|1,0|8,2,0,3,0,1,False
9,5|5|3|2|1|1|1,3|7,2,3,2,0,1,False
9,5|5|2|2|2|1|1,0|2,2,0,1,0,1,False
9,5|5|2|2|1|1|1|1,0|2,2,0,1,0,1,False
9,5|4|4|4|1,3|5,2,3,1,0,1,False
9,5|4|3|3|1|1|1,3|7,2,3,2,0,1,False
9,5|4|3|2|2|2,3|5,2,3,1,0,1,False
9,5|4|3|1|1|1|1|1|1,3|5,2,3,1,0,1,False
9,5|4|2|2|2|1|1|1,0|2,2,0,1,0,1,False
9,5|3|3|3|2|2,0|2|4|6,4,0,1|2,0,1,False
9,5|3|3|2|2|2|1,3|5,2,3,1,0,1,False
9,5|3|3|2|1|1|1|1|1,3|5,2,3,1,0,1,False
9,5|3|3|1|1|1|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
9,5|2|2|2|2|2|1|1|1,3|5,2,3,1,0,1,False
9,5|2|2|2|1|1|1|1|1|1|1,3|7,2,3,2,0,1,False
9,5|2|1|1|1|1|1|1|1|1|1|1|1,3|5,2,3,1,0,1,False
9,4|4|4|3|3,0|2,2,0,1,0,1,False
9,4|4|4|3|1|1|1,0|2,2,0,1,0,1,False
9,4|4|4|2|2|1|1,0|2,2,0,1,0,1,False
9,4|4|4|2|1|1|1|1,0|2,2,0,1,0,1,False
9,4|4|3|3|3|1,0|2,2,0,1,0,1,False
9,4|4|3|3|2|1|1,0|2,2,0,1,0,1,False
9,4|4|3|3|1|1|1|1,0|2,2,0,1,0,1,False
9,4|4|3|2|2|1|1|1,0|2,2,0,1,0,1,False
9,4|4|2|2|2|2|2,0|2,2,0,1,0,1,False
9,4|4|2|2|2|2|1|1,0|2,2,0,1,0,1,False
9,4|4|2|2|2|1|1|1|1,0|2,2,0,1,0,1,False
9,4|4|2|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,4|4|2|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,4|4|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,4|3|3|3|3|1|1,0|2,2,0,1,0,1,False
9,4|3|2|2|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,4|2|2|2|2|2|2|2,0|2,2,0,1,0,1,False
9,4|2|2|2|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,4|2|2|2|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,4|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,3|3|3|3|3|1|1|1,0|2,2,0,1,0,1,False
9,3|3|3|2|2|2|1|1|1,3|5|7|9,4,3,1|2,0,1,False
9,3|3|2|2|2|2|2|2,0|2,2,0,1,0,1,False
9,3|3|2|2|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,3|3|2|2|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,3|2|2|2|2|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
9,3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,18|2,0|2,2,0,1,0,1,False
10,17|3,0|2,2,0,1,0,1,False
10,16|2|2,0|4,2,0,2,0,1,False
10,15|4|1,3|5,2,3,1,0,1,False
10,15|3|1|1,0|4,2,0,2,0,1,False
10,14|6,0|2,2,0,1,0,1,False
10,14|4|1|1,0|4,2,0,2,0,1,False
10,14|3|3,0|2,2,0,1,0,1,False
10,14|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,14|2|2|1|1,0|2,2,0,1,0,1,False
10,14|2|1|1|1|1,0|2,2,0,1,0,1,False
10,13|7,0|2,2,0,1,0,1,False
10,13|5|2,0|4,2,0,2,0,1,False
10,13|3|3|1,0|2,2,0,1,0,1,False
10,13|3|2|1|1,0|2,2,0,1,0,1,False
10,13|3|1|1|1|1,0|2,2,0,1,0,1,False
10,13|2|2|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,12|6|2,0|4,2,0,2,0,1,False
10,12|5|3,0|4,2,0,2,0,1,False
10,12|5|2|1,5|7,2,5,1,0,1,False
10,12|4|2|2,0|2|4|6,4,0,1|2,0,1,False
10,12|3|3|1|1,0|2,2,0,1,0,1,False
10,12|2|2|2|1|1,0|4,2,0,2,0,1,False
10,12|2|2|1|1|1|1,0|4,2,0,2,0,1,False
10,11|8|1,3|5,2,3,1,0,1,False
10,11|7|1|1,0|4,2,0,2,0,1,False
10,11|5|2|2,0|2|4|6,4,0,1|2,0,1,False
10,11|4|4|1,0|4,2,0,2,0,1,False
10,11|4|3|2,3|5,2,3,1,0,1,False
10,11|4|2|2|1,3|5,2,3,1,0,1,False
10,11|4|1|1|1|1|1,3|5,2,3,1,0,1,False
10,11|3|3|1|1|1,0|2,2,0,1,0,1,False
10,11|3|2|2|2,0|4,2,0,2,0,1,False
10,11|3|1|1|1|1|1|1,0|4,2,0,2,0,1,False
10,11|2|2|2|1|1|1,3|5,2,3,1,0,1,False
10,10|10,0|2,2,0,1,0,1,False
10,10|8|1|1,0|4,2,0,2,0,1,False
10,10|7|3,0|2,2,0,1,0,1,False
10,10|7|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,10|6|4,0|2,2,0,1,0,1,False
10,10|6|3|1,0|2,2,0,1,0,1,False
10,10|6|2|1|1,0|2,2,0,1,0,1,False
10,10|6|1|1|1|1,0|2,2,0,1,0,1,False
10,10|5|3|1|1,0|2,2,0,1,0,1,False
10,10|4|4|2,0|4,2,0,2,0,1,False
10,10|4|4|1|1,0|2|4|6,4,0,1|2,0,1,False
10,10|4|3|1|1|1,0|2,2,0,1,0,1,False
10,10|4|2|2|2,0|4,2,0,2,0,1,False
10,10|4|1|1|1|1|1|1,0|4,2,0,2,0,1,False
10,10|3|3|3|1,0|2,2,0,1,0,1,False
10,10|3|3|2|2,0|2|4|6,4,0,1|2,0,1,False
10,10|3|3|2|1|1,0|2,2,0,1,0,1,False
10,10|3|3|1|1|1|1,0|2,2,0,1,0,1,False
10,10|3|1|1|1|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,10|2|2|2|2|2,0|2,2,0,1,0,1,False
10,10|2|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,10|2|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,9|9|2,0|4,2,0,2,0,1,False
10,9|7|4,0|2,2,0,1,0,1,False
10,9|7|3|1,0|2,2,0,1,0,1,False
10,9|7|2|1|1,0|2,2,0,1,0,1,False
10,9|7|1|1|1|1,0|2,2,0,1,0,1,False
10,9|6|4|1,0|2,2,0,1,0,1,False
10,9|6|3|1|1,3|5|7|9,4,3,1|2,0,1,False
10,9|6|2|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,9|5|4|1|1,0|2,2,0,1,0,1,False
10,9|5|3|3,0|4,2,0,2,0,1,False
10,9|5|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,9|5|2|2|1|1,0|4,2,0,2,0,1,False
10,9|5|2|1|1|1|1,0|4,2,0,2,0,1,False
10,9|4|4|1|1|1,0|2,2,0,1,0,1,False
10,9|4|2|2|1|1|1,3|5,2,3,1,0,1,False
10,9|3|3|3|2,0|2,2,0,1,0,1,False
10,9|3|3|3|1|1,0|2|4|6,4,0,1|2,0,1,False
10,9|3|3|2|2|1,0|2,2,0,1,0,1,False
10,9|3|3|1|1|1|1|1,0|2,2,0,1,0,1,False
10,9|3|2|2|2|2,0|2,2,0,1,0,1,False
10,9|3|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,9|3|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,9|2|2|1|1|1|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,8|8|2|2,0|2|4|6,4,0,1|2,0,1,False
10,8|7|3|1|1,0|2,2,0,1,0,1,False
10,8|6|6,0|4,2,0,2,0,1,False
10,8|6|4|1|1,0|2,2,0,1,0,1,False
10,8|6|3|3,0|4,2,0,2,0,1,False
10,8|6|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,8|6|2|2|1|1,0|4,2,0,2,0,1,False
10,8|6|2|1|1|1|1,0|4,2,0,2,0,1,False
10,8|5|5|2,0|2|4|6,4,0,1|2,0,1,False
10,8|5|4|3,5|7,2,5,1,0,1,False
10,8|5|3|3|1,0|4,2,0,2,0,1,False
10,8|5|3|2|1|1,0|4,2,0,2,0,1,False
10,8|5|3|1|1|1|1,0|4,2,0,2,0,1,False
10,8|5|2|2|2|1,5|7,2,5,1,0,1,False
10,8|5|2|2|1|1|1,0|2|8|10,4,0,1|3,0,1,False
10,8|5|2|1|1|1|1|1,5|7,2,5,1,0,1,False
10,8|4|4|2|2,0|4,2,0,2,0,1,False
10,8|4|3|3|1|1,0|4,2,0,2,0,1,False
10,8|4|3|2|1|1|1,3|5,2,3,1,0,1,False
10,8|4|2|2|2|1|1,0|2|4|6,4,0,1|2,0,1,False
10,8|4|2|2|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,8|3|3|3|1|1|1,0|4,2,0,2,0,1,False
10,8|3|3|2|2|2,0|2,2,0,1,0,1,False
10,8|3|3|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,8|3|2|2|2|1|1|1,5|7,2,5,1,0,1,False
10,8|2|2|2|2|2|2,0|4,2,0,2,0,1,False
10,8|2|2|2|1|1|1|1|1|1,0|4,2,0,2,0,1,False
10,8|2|2|1|1|1|1|1|1|1|1,0|4,2,0,2,0,1,False
10,7|7|5|1,0|4,2,0,2,0,1,False
10,7|7|4|2,0|4,2,0,2,0,1,False
10,7|7|4|1|1,0|2|4|6,4,0,1|2,0,1,False
10,7|7|3|1|1|1,0|2,2,0,1,0,1,False
10,7|7|2|2|2,0|4,2,0,2,0,1,False
10,7|7|1|1|1|1|1|1,0|4,2,0,2,0,1,False
10,7|6|5|2,3|5,2,3,1,0,1,False
10,7|6|4|1|1|1,0|2,2,0,1,0,1,False
10,7|6|2|2|1|1|1,3|5,2,3,1,0,1,False
10,7|5|5|3,0|2|4|6,4,0,1|2,0,1,False
10,7|5|5|2|1,3|5,2,3,1,0,1,False
10,7|5|4|2|2,0|4,2,0,2,0,1,False
10,7|5|3|3|1|1,0|4,2,0,2,0,1,False
10,7|5|3|2|1|1|1,3|5,2,3,1,0,1,False
10,7|5|2|2|2|1|1,0|2|4|6,4,0,1|2,0,1,False
10,7|5|2|2|1|1|1|1,0|2|4|6,4,0,1|2,0,1,False
10,7|4|4|3|2,0|4,2,0,2,0,1,False
10,7|4|4|2|2|1,0|4,2,0,2,0,1,False
10,7|4|4|2|1|1|1,3|5,2,3,1,0,1,False
10,7|4|4|1|1|1|1|1,0|4,2,0,2,0,1,False
10,7|4|3|3|3,3|5,2,3,1,0,1,False
10,7|4|3|3|1|1|1,3|5,2,3,1,0,1,False
10,7|4|3|2|2|1|1,3|5,2,3,1,0,1,False
10,7|4|3|2|1|1|1|1,3|5,2,3,1,0,1,False
10,7|4|2|2|2|2|1,3|5,2,3,1,0,1,False
10,7|4|2|2|2|1|1|1,0|2|8|10,4,0,1|3,0,1,False
10,7|4|2|2|1|1|1|1|1,3|5,2,3,1,0,1,False
10,7|4|1|1|1|1|1|1|1|1|1,3|5,2,3,1,0,1,False
10,7|3|3|3|2|2,0|2,2,0,1,0,1,False
10,7|3|3|2|2|1|1|1,0|4,2,0,2,0,1,False
10,7|3|3|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,7|3|2|2|2|2|1|1,0|4,2,0,2,0,1,False
10,7|3|2|2|2|1|1|1|1,0|4,2,0,2,0,1,False
10,7|3|1|1|1|1|1|1|1|1|1|1,0|4,2,0,2,0,1,False
10,7|2|2|2|1|1|1|1|1|1|1,3|5,2,3,1,0,1,False
10,6|6|6|1|1,0|2,2,0,1,0,1,False
10,6|6|5|1|1|1,0|2,2,0,1,0,1,False
10,6|6|4|4,0|2,2,0,1,0,1,False
10,6|6|4|3|1,0|2,2,0,1,0,1,False
10,6|6|4|2|2,0|2|4|6,4,0,1|2,0,1,False
10,6|6|4|2|1|1,0|2,2,0,1,0,1,False
10,6|6|4|1|1|1|1,0|2,2,0,1,0,1,False
10,6|6|3|3|2,0|2,2,0,1,0,1,False
10,6|6|3|3|1|1,0|2|4|6,4,0,1|2,0,1,False
10,6|6|3|2|2|1,0|2,2,0,1,0,1,False
10,6|6|3|1|1|1|1|1,0|2,2,0,1,0,1,False
10,6|6|2|2|2|2,0|2,2,0,1,0,1,False
10,6|6|2|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,6|6|1|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
10,6|5|5|2|2,0|4,2,0,2,0,1,False
